,ES1,ES2,arrival rate I1,rho1,rho2,approximated sojourn time,Kingman formula sojourn time,simulation sojourn time,CV of inter-arrival at I2,special pod capacity,error_predict_theorem
81,2.4752475247524752,100,0.202,0.5,0.2,100.01997500624844,100.14467812537792,100.09049364820271,0.009988732325065947,101,0.0023377337733773377
82,2.4509803921568625,100,0.20400000000000001,0.5,0.2,100.02001250156269,100.1404901682359,100.05527033436007,0.009632192460959036,102,0.0023148148148148147
83,2.4271844660194173,100,0.20600000000000002,0.5,0.2,100.02002500625156,100.13762670974958,99.97244335634036,0.009396387857913859,103,0.0022923408845738945
84,2.4038461538461537,100,0.20800000000000002,0.5,0.2,100.0201001001001,100.14061804210216,100.0599861925477,0.00959342024382898,104,0.0022702991452991455
85,2.380952380952381,100,0.21,0.5,0.2,100.02002500625156,100.14132931364146,99.9448080989107,0.009692226278765497,105,0.002248677248677248
86,2.358490566037736,100,0.212,0.5,0.2,100.02006253908694,100.13917512723535,99.97262659935573,0.009499303164554322,106,0.0022274633123689725
87,2.336448598130841,100,0.214,0.5,0.2,100.02012515644556,100.13394453089496,99.86363723347542,0.009048923401500205,107,0.002206645898234683
88,2.314814814814815,100,0.216,0.5,0.2,100.02003751406778,100.13039181371487,99.95140945321923,0.008811815619348573,108,0.0021862139917695473
89,2.293577981651376,100,0.218,0.5,0.2,100.020150225338,100.13251368163967,100.01992786783941,0.008922060526218606,109,0.002166156982670744
90,2.272727272727273,100,0.22,0.5,0.2,100.02005002501251,100.12861937098049,99.89010165743031,0.008663877149301313,110,0.0021464646464646464
91,2.2522522522522523,100,0.222,0.5,0.2,100.01996251405723,100.13227236285333,100.02563451235851,0.009001659688685363,111,0.002127127127127127
92,2.232142857142857,100,0.224,0.5,0.2,100.0199375390381,100.13434028997855,100.0839513906771,0.009180892443892839,112,0.0021081349206349205
93,2.2123893805309733,100,0.226,0.5,0.2,100.02008757662955,100.13388488328769,100.05040516034136,0.009064094390817802,113,0.0020894788593903636
94,2.1929824561403506,100,0.228,0.5,0.2,100.02001250156269,100.1276795954213,99.91490283398936,0.008607986844327259,114,0.002071150097465887
95,2.1739130434782608,100,0.23,0.5,0.2,100.02005002501251,100.1295874704376,100.00473748513019,0.00874113187244587,115,0.0020531400966183576
96,2.155172413793103,100,0.232,0.5,0.2,100.02003751406778,100.12159154097347,99.81118236999413,0.008109111863852141,116,0.0020354406130268198
97,2.1367521367521367,100,0.234,0.5,0.2,100.0199875015623,100.12759007345117,99.92859368205897,0.008613588571113995,117,0.002018043684710351
98,2.11864406779661,100,0.23600000000000002,0.5,0.2,100.01997500624844,100.12528179170123,99.8662689386231,0.008435084055987902,118,0.0020009416195856874
99,2.1008403361344534,100,0.23800000000000002,0.5,0.2,100.0199375390381,100.12213410669368,99.98927641415051,0.008201338587297059,119,0.001984126984126984
100,2.0833333333333335,100,0.24,0.5,0.2,100.02013768932282,100.119101657045,100.10244721892104,0.0078629849640222,120,0.0019675925925925924
101,2.066115702479339,100,0.242,0.5,0.2,100.0199875015623,100.11916601543753,99.8761462492068,0.007939242516415281,121,0.0019513314967860422
102,2.0491803278688523,100,0.244,0.5,0.2,100.02,100.1192407020239,99.89091003969344,0.00793925616191169,122,0.0019353369763205825
103,2.032520325203252,100,0.246,0.5,0.2,100.02012515644556,100.11885708582338,100.00941815394242,0.007849433987351127,123,0.0019196025293586267
104,2.0161290322580645,100,0.248,0.5,0.2,100.0199875015623,100.12238560014413,99.91207867470861,0.008196970352707687,124,0.0019041218637992831
105,2.0,100,0.25,0.5,0.2,100.02001250156269,100.12102591762932,100.1864041342634,0.008076025138600854,125,0.001888888888888889
106,1.9841269841269842,100,0.252,0.5,0.2,100.01992505620784,100.12251649664285,99.93127529417602,0.008238185277056867,126,0.0018738977072310405
107,1.968503937007874,100,0.254,0.5,0.2,100.01996251405723,100.11719486652125,100.0048358989215,0.007793194960135139,127,0.0018591426071741031
108,1.953125,100,0.256,0.5,0.2,100.02001250156269,100.11939401066078,100.02082948949722,0.007945554135687916,128,0.0018446180555555555
109,1.937984496124031,100,0.258,0.5,0.2,100.01997500624844,100.11550381853806,99.94483486250083,0.007651867426842555,129,0.001830318690783807
110,1.923076923076923,100,0.26,0.5,0.2,100.01991257649557,100.11613385243659,99.94476424340236,0.007731497806922207,130,0.001816239316239316
111,1.9083969465648853,100,0.262,0.5,0.2,100.02006253908694,100.11346303143077,100.06111828250118,0.007448747494154624,131,0.0018023748939779473
112,1.8939393939393938,100,0.264,0.5,0.2,100.02006253908694,100.11283777412675,100.06661902958275,0.007398882834347521,132,0.0017887205387205386
113,1.8796992481203008,100,0.266,0.5,0.2,100.01996251405723,100.11128796711671,99.98199501890394,0.007319755641812906,133,0.0017752715121136175
114,1.8656716417910446,100,0.268,0.5,0.2,100.01992505620784,100.11399490209263,100.01084860663602,0.007553893542162709,134,0.0017620232172470978
115,1.8518518518518516,100,0.27,0.5,0.2,100.0199875015623,100.1084651725221,100.04270845031527,0.007082639773380394,135,0.0017489711934156379
116,1.838235294117647,100,0.272,0.5,0.2,100.02003751406778,100.11020372188145,99.95641340473381,0.007199791950933422,136,0.001736111111111111
117,1.824817518248175,100,0.274,0.5,0.2,100.01996251405723,100.11008122283766,99.90649170897817,0.0072230348159217205,137,0.0017234387672343879
118,1.8115942028985506,100,0.276,0.5,0.2,100.02002500625156,100.10443618684445,99.93876345379215,0.006744461762056909,138,0.001710950080515298
119,1.7985611510791366,100,0.278,0.5,0.2,100.01997500624844,100.11032567536782,99.99066572054143,0.007237097640573794,139,0.0016986410871302957
120,1.7857142857142856,100,0.28,0.5,0.2,100.02,100.10929199799331,99.96163842759849,0.007143359839465184,140,0.0016865079365079364
121,1.7730496453900708,100,0.28200000000000003,0.5,0.2,100.02003751406778,100.107505866977,100.01711946797477,0.006984367630704231,141,0.0016745468873128446
122,1.76056338028169,100,0.28400000000000003,0.5,0.2,100.02001250156269,100.11190164095173,99.80659196008176,0.007346538990233282,142,0.001662754303599374
123,1.7482517482517481,100,0.28600000000000003,0.5,0.2,100.0199875015623,100.10344445912074,100.1736447723328,0.0066807315400206155,143,0.001651126651126651
124,1.736111111111111,100,0.28800000000000003,0.5,0.2,100.01996251405723,100.09944553039468,99.94424244609836,0.0063705816699907315,144,0.0016396604938271604
125,1.7241379310344829,100,0.29,0.5,0.2,100.01997500624844,100.10322721548495,99.89760312620793,0.006668510293399611,145,0.0016283524904214558
126,1.7123287671232879,100,0.292,0.5,0.2,100.02001250156269,100.10752338265532,100.08582282466784,0.006996497130033711,146,0.0016171993911719938
127,1.7006802721088436,100,0.294,0.5,0.2,100.0199375390381,100.10122016302377,100.06151288089386,0.0065229815038122755,147,0.0016061980347694634
128,1.6891891891891893,100,0.296,0.5,0.2,100.02003751406778,100.10414553991251,99.95899098955192,0.00671604475966324,148,0.0015953453453453454
129,1.6778523489932886,100,0.298,0.5,0.2,100.01991257649557,100.10934001037033,99.9644124482758,0.007185604245210343,149,0.0015846383296047727
130,1.6666666666666667,100,0.3,0.5,0.2,100.02003751406778,100.09769851370632,100.09524703703958,0.006201248268691816,150,0.001574074074074074
131,1.6556291390728477,100,0.302,0.5,0.2,100.02001250156269,100.099979059166,100.09587828165122,0.006393328278549153,151,0.0015636497424576894
132,1.6447368421052633,100,0.304,0.5,0.2,100.02003751406778,100.1080164692766,99.95904778071166,0.007025139339041365,152,0.0015533625730994151
133,1.6339869281045751,100,0.306,0.5,0.2,100.02007505629221,100.09902640911736,100.00796366313817,0.006292493663849589,153,0.0015432098765432098
134,1.6233766233766234,100,0.308,0.5,0.2,100.02006253908694,100.09865273352382,99.8834114618074,0.006267617002722687,154,0.001533189033189033
135,1.6129032258064517,100,0.31,0.5,0.2,100.0201001001001,100.10239462825858,99.85275640539788,0.00655077558807365,155,0.0015232974910394264
136,1.6025641025641026,100,0.312,0.5,0.2,100.02001250156269,100.1000947568063,99.93460154882764,0.006402578307781557,156,0.0015135327635327634
137,1.5923566878980893,100,0.314,0.5,0.2,100.02001250156269,100.10045453390856,99.83550485430084,0.006431342496097667,157,0.0015038924274593064
138,1.5822784810126582,100,0.316,0.5,0.2,100.02006253908694,100.0989244526173,100.07760619413193,0.006289286769828485,158,0.0014943741209563993
139,1.572327044025157,100,0.318,0.5,0.2,100.02003751406778,100.09874635457453,99.90472389493944,0.006284918597428892,159,0.0014849755415793152
140,1.5625,100,0.32,0.5,0.2,100.02,100.09915128935957,100.05850242724263,0.0063321031487659435,160,0.0014756944444444442
141,1.5527950310559007,100,0.322,0.5,0.2,100.02001250156269,100.09941139133126,99.80284533918423,0.00634794322097731,161,0.0014665286404416838
142,1.5432098765432098,100,0.324,0.5,0.2,100.02,100.1001221575773,99.9791110379802,0.006409772606184313,162,0.0014574759945130313
143,1.5337423312883436,100,0.326,0.5,0.2,100.01996251405723,100.0970644889806,99.96700854368436,0.006179740664113821,163,0.0014485344239945467
144,1.524390243902439,100,0.328,0.5,0.2,100.02001250156269,100.09664938657528,99.82158548555897,0.006127120871721271,164,0.00143970189701897
145,1.5151515151515151,100,0.33,0.5,0.2,100.01997500624844,100.09904475006098,99.9160686730378,0.006333494394273751,165,0.001430976430976431
146,1.506024096385542,100,0.332,0.5,0.2,100.02002500625156,100.09439294822674,99.9072227064321,0.005942005993181194,166,0.00142235609103079
147,1.497005988023952,100,0.334,0.5,0.2,100.02003751406778,100.09228543481316,99.92467159208633,0.005769012702954133,167,0.001413838988689288
148,1.488095238095238,100,0.336,0.5,0.2,100.0199000999001,100.09376989893188,100.07422277832993,0.005939250508499468,168,0.0014054232804232806
149,1.4792899408284024,100,0.338,0.5,0.2,100.02,100.09549534680167,100.1014811359717,0.006039627744133407,169,0.0013971071663379355
150,1.4705882352941175,100,0.34,0.5,0.2,100.01997500624844,100.09303600811856,99.95922597573552,0.00585219356321061,170,0.0013888888888888887
151,1.461988304093567,100,0.342,0.5,0.2,100.02001250156269,100.09557374939271,99.91008493888128,0.006041123652096543,171,0.0013807667316439245
152,1.4534883720930232,100,0.34400000000000003,0.5,0.2,100.0199875015623,100.09610262740588,99.94775395068352,0.006093017727608534,172,0.0013727390180878552
153,1.445086705202312,100,0.34600000000000003,0.5,0.2,100.01995002498751,100.09270407253467,99.89591413071082,0.005834903773221706,173,0.0013648041104688503
154,1.4367816091954022,100,0.34800000000000003,0.5,0.2,100.02003751406778,100.09023244281677,99.85374705108265,0.005605080830811215,174,0.0013569604086845466
155,1.4285714285714284,100,0.35000000000000003,0.5,0.2,100.02001250156269,100.08809327612713,99.81992411421466,0.0054430596275950715,175,0.001349206349206349
156,1.4204545454545456,100,0.352,0.5,0.2,100.01997500624844,100.09136452603562,100.14676767164023,0.005718307681051734,176,0.001341540404040404
157,1.4124293785310735,100,0.354,0.5,0.2,100.02,100.09178338618278,100.0324847288442,0.005742670894622385,177,0.0013339610797237916
158,1.404494382022472,100,0.356,0.5,0.2,100.02,100.08891032198586,100.05433117724218,0.005512825758869144,178,0.0013264669163545568
159,1.3966480446927374,100,0.358,0.5,0.2,100.01997500624844,100.09096513130002,99.92280977181133,0.005686316122751216,179,0.001319056486654252
160,1.3888888888888888,100,0.36,0.5,0.2,100.02001250156269,100.09110917232809,99.88472809524525,0.0056841806042214,180,0.0013117283950617282
161,1.3812154696132597,100,0.362,0.5,0.2,100.02,100.08921153510316,99.97186044139616,0.005536922808253061,181,0.0013044812768569674
162,1.3736263736263736,100,0.364,0.5,0.2,100.02003751406778,100.0896999538947,100.12157167499029,0.005562561470752511,182,0.0012973137973137973
163,1.366120218579235,100,0.366,0.5,0.2,100.01997500624844,100.08559843951322,99.93077252921044,0.00525644357342157,183,0.0012902246508803886
164,1.358695652173913,100,0.368,0.5,0.2,100.02006253908694,100.08764025788454,99.92030409449652,0.005389365204856661,184,0.0012832125603864733
165,1.3513513513513513,100,0.37,0.5,0.2,100.01996251405723,100.09130267692055,100.11671044346663,0.005717930129144732,185,0.0012762762762762762
166,1.3440860215053763,100,0.372,0.5,0.2,100.01997500624844,100.08588472087084,100.18071518529833,0.0052793747388227095,186,0.0012694145758661887
167,1.3368983957219251,100,0.374,0.5,0.2,100.0199875015623,100.08538319102205,99.95690866443051,0.0052349265769626434,187,0.0012626262626262625
